source_id	source_qualified_name	edge_type	target_id	target_qualified_name	properties
2155	D-twse.model.module.DependencyAwareLayer.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2155	D-twse.model.module.DependencyAwareLayer.__init__	CALLS	2147	D-twse.model.module.MultiHeadCrossAttentionWithRoPE	{"callee":"MultiHeadCrossAttentionWithRoPE","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"d_model"},{"i":1,"e":"n_heads"},{"i":2,"e":"attn_dropout_p"},{"i":3,"e":"resid_dropout"}]}
2155	D-twse.model.module.DependencyAwareLayer.__init__	CALLS	2132	D-twse.model.module.RMSNorm	{"callee":"RMSNorm","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"d_model"}]}
2113	D-twse.model.module.DifferentiableEntropyFunction.backward	CALLS	2535	D-twse._api_test.log	{"callee":"torch.log","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"prob"}]}
2112	D-twse.model.module.DifferentiableEntropyFunction.forward	CALLS	2535	D-twse._api_test.log	{"callee":"torch.log","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"prob"}]}
2161	D-twse.model.module.DualHead.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2137	D-twse.model.module.FeedForward.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2166	D-twse.model.module.FixedEmbedding.__init__	CALLS	2535	D-twse._api_test.log	{"callee":"math.log","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"10000.0"}]}
2166	D-twse.model.module.FixedEmbedding.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super(FixedEmbedding, self).__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2151	D-twse.model.module.HierarchicalEmbedding.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2153	D-twse.model.module.HierarchicalEmbedding.forward	CALLS	2152	D-twse.model.module.HierarchicalEmbedding.split_token	{"callee":"self.split_token","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"token_ids"},{"i":1,"e":"self.s2_bits"}]}
2145	D-twse.model.module.MultiHeadAttentionWithRoPE.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2145	D-twse.model.module.MultiHeadAttentionWithRoPE.__init__	CALLS	2139	D-twse.model.module.RotaryPositionalEmbedding	{"callee":"RotaryPositionalEmbedding","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.head_dim"}]}
2148	D-twse.model.module.MultiHeadCrossAttentionWithRoPE.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2148	D-twse.model.module.MultiHeadCrossAttentionWithRoPE.__init__	CALLS	2139	D-twse.model.module.RotaryPositionalEmbedding	{"callee":"RotaryPositionalEmbedding","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"self.head_dim"}]}
2133	D-twse.model.module.RMSNorm.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2135	D-twse.model.module.RMSNorm.forward	CALLS	2134	D-twse.model.module.RMSNorm._norm	{"callee":"self._norm","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"x.float()"}]}
2140	D-twse.model.module.RotaryPositionalEmbedding.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2142	D-twse.model.module.RotaryPositionalEmbedding.forward	CALLS	2143	D-twse.model.module.RotaryPositionalEmbedding._rotate_half	{"callee":"self._rotate_half","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"k"}]}
2142	D-twse.model.module.RotaryPositionalEmbedding.forward	CALLS	2141	D-twse.model.module.RotaryPositionalEmbedding._update_cos_sin_cache	{"callee":"self._update_cos_sin_cache","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"q"},{"i":1,"e":"q.shape[-2]"}]}
